id,Telepules,QK_vil_cs,QK_vil_real_cs,QK_el_real_cs,QK_el_cs_real_cs,QK_ga_real_cs,QK_ol_real_cs,QK_sz_real_cs,QK_bm_real_cs,QK_th_real_cs,QK_el_real,QK_el_cs_real,QK_ga_real,QK_ol_real,QK_sz_real,QK_bm_real,QK_th_real,QK_vil,QK_vil_real,deltaQK,TFCO2_K,TFCO2_K_cs,TK_t,TK_e,EK_vil_e_cs,EK_vil_t_cs,EK_vil_real_e_cs,EK_vil_real_t_cs,EK_vil_e,EK_vil_t,EK_vil_real_e,EK_vil_real_t,deltaEK_e,deltaEK_t,deltaTFCO2_K,potK,deltaQK_el_real,deltaQK_el_cs_real,deltaQK_ga_real,deltaQK_ol_real,deltaQK_sz_real,deltaQK_bm_real,deltaQK_th_real
0,Andornaktálya,13363532.763385288,13363532.763385288,,,,,,,,,,,,,,,37748882.860958196,37748882.860958196,24409661.415329836,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
1,Bogács,14228056.56268099,14228056.56268099,,,,,,,,,,,,,,,42567889.054291174,42567889.054291174,28406759.286083862,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
2,Bükkzsérc,6807598.40842451,6807598.40842451,,,,,,,,,,,,,,,21400174.92971567,21400174.92971567,14604302.571185937,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
3,Cserépfalu,6966265.923595468,6966265.923595468,,,,,,,,,,,,,,,22878307.74947171,22878307.74947171,15922843.52183447,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
4,Cserépváralja,2366561.1003819657,2366561.1003819657,,,,,,,,,,,,,,,7802727.777006891,7802727.777006891,5440730.834999904,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
5,Demjén,6144113.616954597,6144113.616954597,,,,,,,,,,,,,,,15416489.859950162,15416489.859950162,9359894.801612346,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
6,Eger,319750424.52381563,319750424.52381563,,,,,,,,,,,,,,,765846468.462416,765846468.462416,449541521.73228556,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
7,Egerbakta,6379605.562684794,6379605.562684794,,,,,,,,,,,,,,,19897471.62087588,19897471.62087588,13528515.786562014,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
8,Egerszalók,19911217.295632213,19911217.295632213,,,,,,,,,,,,,,,44780778.390343845,44780778.390343845,25186195.621383797,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
9,Egerszólát,5715283.817400693,5715283.817400693,,,,,,,,,,,,,,,17691842.224829737,17691842.224829737,11987465.64888803,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
10,Feldebrő,7147805.377262905,7147805.377262905,,,,,,,,,,,,,,,24062366.530290168,24062366.530290168,16927656.707852304,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
11,Felsőtárkány,17507320.395760648,17507320.395760648,,,,,,,,,,,,,,,48762253.597315006,48762253.597315006,31288405.450645313,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
12,Kerecsend,10747178.066110602,10747178.066110602,,,,,,,,,,,,,,,32852985.797553487,32852985.797553487,22170993.27142687,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
13,Maklár,13477929.050873911,13477929.050873911,,,,,,,,,,,,,,,41552710.63798875,41552710.63798875,28100508.514075655,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
14,Nagytálya,5041274.977624742,5041274.977624742,,,,,,,,,,,,,,,15120575.238533458,15120575.238533458,10083673.100498602,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
15,Noszvaj,10418118.714454455,10418118.714454455,,,,,,,,,,,,,,,28975578.961658806,28975578.961658806,18601171.895511612,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
16,Novaj,7736606.934648912,7736606.934648912,,,,,,,,,,,,,,,23631198.268399376,23631198.268399376,15900696.31707828,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
17,Ostoros,14193925.597400567,14193925.597400567,,,,,,,,,,,,,,,33404775.907321744,33404775.907321744,19226973.110835806,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
18,Sirok,9566602.91654466,9566602.91654466,,,,,,,,,,,,,,,30665842.45358531,30665842.45358531,21128963.796776988,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
19,Szarvaskő,2345594.5071960795,2345594.5071960795,,,,,,,,,,,,,,,7193772.171686983,7193772.171686983,4851334.561134613,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
20,Szomolya,7528974.447979875,7528974.447979875,,,,,,,,,,,,,,,25808302.80490526,25808302.80490526,18297437.517886125,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
21,Tarnaszentmária,1919958.580861403,1919958.580861403,,,,,,,,,,,,,,,6583253.242599412,6583253.242599412,4666707.160156233,,,0,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
22,Verpelét,21153557.016516514,21153557.016516514,,,,,,,,,,,,,,,67044072.888766445,67044072.888766445,45964507.91366537,,,0,,,inf,,inf,,inf,,inf,,inf,,,,,,,,,
